Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time
320,23.4,35.6,0.0,4.0,0.0,4.0,0,0,0.5941390991210938
321,24.2,34.4,0.0,4.0,0.0,1.0,0,0,0.6413459777832031
322,22.0,36.6,0.0,4.0,0.0,4.0,0,0,0.6155967712402344
323,23.6,36.4,0.0,4.0,0.0,4.0,0,0,0.6017684936523438
324,25.0,30.4,0.0,4.0,0.0,1.0,2,0,0.5538463592529297
325,23.3,34.2,8.3,1.0,1.0,1.0,0,0,0.5702972412109375
326,25.2,35.4,0.0,4.0,0.0,2.0,0,0,0.6434917449951172
327,25.2,29.4,0.5,1.0,1.0,1.0,2,0,0.6296634674072266
328,22.8,34.0,24.9,3.0,2.0,1.0,0,0,0.5905628204345703
329,24.6,34.0,0.0,4.0,0.0,1.0,0,0,0.6124973297119141
330,24.8,34.7,0.0,4.0,0.0,1.0,0,0,0.5931854248046875
331,25.4,33.2,0.0,4.0,0.0,1.0,0,0,0.5552768707275391
332,23.9,34.2,0.0,4.0,0.0,1.0,0,0,0.6730556488037109
333,24.4,34.7,0.0,4.0,0.0,1.0,0,0,0.6072521209716797
334,23.8,35.0,12.0,1.0,1.0,1.0,0,0,0.6184577941894531
335,25.0,35.2,0.0,4.0,0.0,1.0,0,0,0.6010532379150391
336,25.0,36.0,0.0,4.0,0.0,1.0,0,0,0.6625652313232422
337,24.0,35.2,36.5,3.0,2.0,1.0,0,0,0.6351470947265625
338,24.5,35.4,0.0,4.0,0.0,1.0,0,0,0.6101131439208984
339,24.8,35.2,5.7,1.0,1.0,1.0,0,0,0.6947517395019531
340,25.0,35.4,0.0,4.0,0.0,1.0,0,0,0.6184577941894531
341,24.8,35.2,1.0,1.0,1.0,1.0,2,0,0.6005764007568359
342,24.0,35.2,29.0,3.0,2.0,4.0,0,0,0.6279945373535156
343,26.0,35.1,0.0,4.0,0.0,1.0,0,0,0.5972385406494141
344,25.8,34.2,0.2,1.0,1.0,1.0,2,0,0.5822181701660156
345,24.4,32.6,1.3,1.0,1.0,1.0,2,0,0.5865097045898438
346,25.1,35.2,0.0,4.0,0.0,4.0,0,0,0.6127357482910156
347,24.6,36.0,0.3,1.0,1.0,1.0,0,0,0.6413459777832031
348,23.5,36.0,20.2,3.0,2.0,1.0,0,0,0.6706714630126953
349,24.0,35.6,2.0,1.0,1.0,7.0,0,0,2.2134780883789062
