Data ke,Suhu Min,Suhu Max,Curah Hujan (mm),Kategori Curah Hujan,Kategori Hujan (num),Arah Angin,Actual Class,Predicted Class,Execution Time,Arduino Prediction,Arduino Execution Time
258,23.6,34.4,1.2,1.0,1.0,1.0,2,0,0.00015783309936523438,0,0.035505
259,24.2,32.8,0.5,1.0,1.0,1.0,2,0,0.00015687942504882812,0,0.035564
260,23.0,33.4,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035395
261,23.4,33.1,0.0,4.0,0.0,0.0,2,0,0.0001590251922607422,0,0.035324
262,24.0,34.0,0.0,4.0,0.0,4.0,2,0,0.00015783309936523438,0,0.03536
263,23.6,33.2,0.0,4.0,0.0,4.0,2,0,0.00015783309936523438,0,0.035373
264,23.0,34.4,0.0,4.0,0.0,4.0,2,0,0.00015401840209960938,0,0.035326
265,23.0,31.8,0.0,4.0,0.0,1.0,2,0,0.00015592575073242188,0,0.035413
266,24.2,34.4,0.6,1.0,1.0,1.0,0,0,0.00015497207641601562,0,0.035533
267,24.6,32.8,0.0,4.0,0.0,4.0,2,0,0.00015616416931152344,0,0.035393
268,23.4,33.8,0.0,4.0,0.0,4.0,2,0,0.00015306472778320312,0,0.035348
269,23.8,34.0,0.0,4.0,0.0,4.0,0,0,0.00015592575073242188,0,0.035359
270,21.6,33.4,0.0,4.0,0.0,4.0,2,0,0.00015687942504882812,0,0.035319
271,22.0,32.8,0.0,4.0,0.0,4.0,2,0,0.0001571178436279297,0,0.035334
272,23.6,32.6,0.0,4.0,0.0,4.0,2,0,0.00015616416931152344,0,0.035419
273,20.8,33.6,0.0,4.0,0.0,4.0,2,0,0.00016307830810546875,0,0.03531
274,21.0,33.8,0.0,4.0,0.0,1.0,2,0,0.00015807151794433594,0,0.035323
275,23.0,33.6,0.0,4.0,0.0,1.0,2,0,0.00015282630920410156,0,0.035397
276,22.4,33.4,0.0,4.0,0.0,1.0,2,0,0.0001609325408935547,0,0.035375
277,22.8,34.1,0.0,4.0,0.0,4.0,2,0,0.00015592575073242188,0,0.035336
278,23.4,34.2,0.0,4.0,0.0,4.0,0,0,0.00016307830810546875,0,0.035366
279,23.0,33.4,0.0,4.0,0.0,1.0,2,0,0.00015997886657714844,0,0.035393
280,22.6,34.8,0.0,4.0,0.0,1.0,2,0,0.0001571178436279297,0,0.035374
281,23.0,33.4,0.0,4.0,0.0,2.0,2,0,0.00015687942504882812,0,0.035343
282,24.0,34.5,0.0,4.0,0.0,1.0,0,0,0.00015687942504882812,0,0.035399
283,23.6,34.4,0.0,4.0,0.0,4.0,0,0,0.00015401840209960938,0,0.035367
284,23.8,33.4,0.0,4.0,0.0,4.0,2,0,0.00015425682067871094,0,0.035363
285,21.0,33.8,0.0,4.0,0.0,4.0,2,0,0.00015616416931152344,0,0.035278
286,20.2,32.9,0.0,4.0,0.0,1.0,2,0,0.0001533031463623047,0,0.035386
287,23.0,33.8,0.0,4.0,0.0,4.0,2,0,0.0001571178436279297,0,0.035318
